Date,Description,Amount
2026-07-01,GREENLEAF LANDLORD RENT,-1850.00
2026-07-02,WHOLE FOODS MKT #221,-86.42
2026-07-03,STARBUCKS #0912,-5.75
2026-07-04,SHELL OIL 5749821,-48.10
2026-07-05,NETFLIX.COM,-15.49
2026-07-06,UBER TRIP HELP.UBER.COM,-19.30
2026-07-07,TRADER JOE'S #455,-54.19
2026-07-08,CHIPOTLE 2841,-13.85
2026-07-09,AMAZON.COM*RT4A2,-64.00
2026-07-10,ACME CORP PAYROLL DIRECT DEPOSIT,4200.00
2026-07-11,PLANET FITNESS MEMBERSHIP,-39.00
2026-07-12,BLUE BOTTLE COFFEE,-6.25
2026-07-13,DOORDASH*THAI BASIL,-28.40
2026-07-14,CVS/PHARMACY #4471,-22.15
2026-07-15,SPOTIFY USA,-11.99
2026-07-16,TARGET T-1188,-73.24
2026-07-17,LYFT *RIDE WED,-14.80
2026-07-18,SUSHI NEKO RESTAURANT,-41.60
2026-07-19,VERIZON WIRELESS,-70.00
2026-07-20,AMC ONLINE 3391,-32.50
2026-07-21,SAFEWAY 1123,-61.07
